time,wavelength_shift_1,wavelength_shift_2
5.574,-0.5867,-0.4257
5.603,-0.5854,-0.4257
5.633,-0.5846,-0.4263
5.663,-0.5883,-0.4254
5.692,-0.5813,-0.4271
5.722,-0.5867,-0.428
5.752,-0.5863,-0.4265
5.78,-0.5847,-0.4275
5.81,-0.5841,-0.4252
5.839,-0.5852,-0.4266
5.869,-0.5824,-0.428
5.901,-0.584,-0.4283
5.928,-0.5866,-0.4225
5.959,-0.586,-0.4271
5.988,-0.5837,-0.4271
6.017,-0.5877,-0.4249
6.047,-0.584,-0.4274
6.076,-0.5835,-0.4277
6.106,-0.5851,-0.4255
6.136,-0.5875,-0.4256
6.166,-0.581,-0.4261
6.196,-0.5875,-0.4264
6.226,-0.5829,-0.4298
6.255,-0.5871,-0.4254
6.284,-0.5851,-0.4266
6.314,-0.5866,-0.4261
6.343,-0.5855,-0.4246
6.373,-0.5868,-0.4294
6.402,-0.5868,-0.4239
6.432,-0.5857,-0.4272
6.462,-0.5862,-0.4288
6.491,-0.5876,-0.4256
6.521,-0.5871,-0.4249
6.553,-0.5858,-0.4255
6.584,-0.5854,-0.4265
6.61,-0.5858,-0.4257
6.639,-0.5807,-0.4245
6.669,-0.5862,-0.4243
6.699,-0.5848,-0.4256
6.728,-0.5857,-0.4276
6.758,-0.5869,-0.4254
6.788,-0.5871,-0.4247
6.817,-0.5855,-0.4233
6.847,-0.5855,-0.4239
6.877,-0.5886,-0.4233
6.906,-0.5848,-0.4276
6.936,-0.5885,-0.4253
6.965,-0.5819,-0.4257
6.995,-0.5809,-0.4271
7.025,-0.5849,-0.4269
7.055,-0.5865,-0.4237
7.084,-0.5841,-0.4257
7.116,-0.5835,-0.4259
7.149,-0.5879,-0.4286
7.173,-0.5854,-0.4291
7.202,-0.5883,-0.4261
7.232,-0.5851,-0.4285
7.262,-0.5832,-0.4229
7.291,-0.5858,-0.4291
7.321,-0.5855,-0.4272
7.354,-0.5872,-0.4261
7.38,-0.5856,-0.4252
7.41,-0.5839,-0.4288
7.441,-0.5821,-0.4277
7.47,-0.5819,-0.4263
7.499,-0.5859,-0.4279
7.528,-0.5853,-0.4257
7.558,-0.5858,-0.4262
7.588,-0.5879,-0.4254
7.617,-0.5868,-0.4271
7.647,-0.5852,-0.426
7.676,-0.5831,-0.4258
7.706,-0.5858,-0.4313
7.736,-0.583,-0.4262
7.765,-0.5857,-0.4244
7.795,-0.587,-0.4259
7.825,-0.5899,-0.4274
7.854,-0.5847,-0.4277
7.886,-0.5849,-0.4262
7.913,-0.5855,-0.4252
7.948,-0.5835,-0.4275
7.973,-0.5864,-0.4255
8.002,-0.585,-0.4255
8.032,-0.5848,-0.4273
8.061,-0.5869,-0.4269
8.091,-0.5883,-0.4252
8.121,-0.5861,-0.426
8.15,-0.5849,-0.4268
8.18,-0.5846,-0.4268
8.21,-0.5837,-0.4258
8.24,-0.585,-0.427
8.27,-0.5849,-0.4255
8.298,-0.5861,-0.4272
8.329,-0.586,-0.427
8.358,-0.5866,-0.426
8.386,-0.5898,-0.4293
8.416,-0.5848,-0.4288
8.447,-0.5869,-0.4272
8.476,-0.5863,-0.4264
8.506,-0.586,-0.4288
8.536,-0.5844,-0.4282
8.565,-0.5872,-0.4282
8.595,-0.5879,-0.4274
8.624,-0.5876,-0.4287
8.656,-0.584,-0.4276
8.684,-0.585,-0.4266
8.713,-0.588,-0.4243
8.742,-0.5889,-0.426
8.773,-0.5835,-0.426
8.802,-0.5833,-0.4276
8.832,-0.5835,-0.4265
8.861,-0.5832,-0.4286
8.891,-0.5841,-0.4276
8.925,-0.5895,-0.4288
8.95,-0.587,-0.4259
8.98,-0.5864,-0.4239
9.01,-0.5844,-0.4283
9.04,-0.5847,-0.4235
9.069,-0.5872,-0.4281
9.099,-0.5863,-0.4258
9.128,-0.5861,-0.4295
9.157,-0.5854,-0.4257
9.187,-0.5848,-0.4287
9.216,-0.5854,-0.4244
9.247,-0.5871,-0.4275
9.276,-0.5877,-0.4279
9.306,-0.586,-0.4303
9.336,-0.5857,-0.4271
9.365,-0.5838,-0.427
9.395,-0.5868,-0.4282
9.425,-0.5879,-0.4274
9.453,-0.5878,-0.4302
9.483,-0.5885,-0.4293
9.514,-0.5854,-0.4282
9.543,-0.5851,-0.4297
9.573,-0.5855,-0.4291
9.601,-0.5814,-0.425
9.631,-0.5859,-0.4257
9.661,-0.5844,-0.4281
9.69,-0.5838,-0.429
9.721,-0.5859,-0.4282
9.752,-0.5872,-0.4301
9.78,-0.5884,-0.4284
9.816,-0.5876,-0.4275
9.84,-0.5871,-0.4252
9.869,-0.5873,-0.4288
9.898,-0.5873,-0.426
9.927,-0.5863,-0.4279
9.957,-0.5872,-0.4309
9.987,-0.5858,-0.4261
10.017,-0.5834,-0.4261
10.046,-0.5888,-0.4275
10.077,-0.584,-0.4272
10.105,-0.5836,-0.425
10.136,-0.5897,-0.429
10.166,-0.5908,-0.4291
10.194,-0.5863,-0.4275
10.224,-0.5844,-0.4266
10.253,-0.5867,-0.4271
10.283,-0.5839,-0.4264
10.312,-0.5844,-0.4274
10.344,-0.5876,-0.4261
10.377,-0.5868,-0.428
10.402,-0.5839,-0.4289
10.432,-0.5843,-0.4278
10.461,-0.5882,-0.4283
10.49,-0.5848,-0.428
10.52,-0.5827,-0.43
10.55,-0.5857,-0.4292
10.579,-0.5842,-0.4305
10.612,-0.5833,-0.429
10.639,-0.5836,-0.428
10.669,-0.5894,-0.434
10.698,-0.5859,-0.4299
10.727,-0.5837,-0.4303
10.757,-0.5866,-0.4287
10.787,-0.5858,-0.4307
10.816,-0.5871,-0.4307
10.846,-0.5892,-0.4321
10.875,-0.5866,-0.4316
10.906,-0.5846,-0.4303
10.936,-0.5881,-0.4288
10.965,-0.5842,-0.4301
10.994,-0.5876,-0.4285
11.024,-0.5852,-0.4303
11.053,-0.5895,-0.4299
11.083,-0.589,-0.4315
11.112,-0.5848,-0.4303
11.145,-0.5865,-0.4274
11.172,-0.5835,-0.4302
11.201,-0.5851,-0.4318
11.231,-0.5855,-0.4286
11.261,-0.586,-0.4296
11.29,-0.5853,-0.431
11.322,-0.5845,-0.4313
11.351,-0.5845,-0.4302
11.379,-0.587,-0.4322
11.409,-0.5832,-0.4311
11.438,-0.5847,-0.4297
11.468,-0.5873,-0.4294
11.498,-0.5854,-0.4288
11.527,-0.5865,-0.43
11.557,-0.5869,-0.431
11.587,-0.5853,-0.4322
11.617,-0.5818,-0.4313
11.646,-0.5838,-0.4323
11.675,-0.5835,-0.429
11.704,-0.5904,-0.4315
11.735,-0.5851,-0.4296
11.764,-0.5857,-0.4284
11.796,-0.5855,-0.4302
11.823,-0.584,-0.4327
11.854,-0.5885,-0.4284
11.884,-0.5855,-0.4301
11.912,-0.5846,-0.4324
11.942,-0.5879,-0.4266
11.971,-0.5871,-0.4304
12,-0.5873,-0.4308
12.031,-0.5849,-0.4322
12.059,-0.5848,-0.4299
12.09,-0.5832,-0.4308
12.12,-0.5831,-0.4323
12.149,-0.5804,-0.4341
12.179,-0.5867,-0.4288
12.208,-0.5898,-0.4311
12.238,-0.5838,-0.4295
12.268,-0.5848,-0.4307
12.297,-0.5843,-0.431
12.327,-0.5861,-0.4308
12.355,-0.5863,-0.4305
12.386,-0.5846,-0.4302
12.416,-0.5872,-0.4326
12.445,-0.585,-0.4327
12.476,-0.583,-0.4324
12.505,-0.5854,-0.4304
12.534,-0.5865,-0.431
12.564,-0.5869,-0.4349
12.594,-0.5828,-0.432
12.623,-0.5866,-0.431
12.653,-0.5862,-0.4335
12.684,-0.5891,-0.432
12.712,-0.5841,-0.4327
12.742,-0.5852,-0.433
12.776,-0.5835,-0.4308
12.802,-0.586,-0.4327
