Time (s),FBG (nm)
80.179,-0.441
80.209,-0.438
80.238,-0.44
80.269,-0.4387
80.299,-0.4357
80.327,-0.4363
80.358,-0.4336
80.387,-0.4339
80.417,-0.4339
80.446,-0.4335
80.475,-0.436
80.513,-0.4419
80.536,-0.454
80.565,-0.4535
80.594,-0.4542
80.624,-0.4525
80.654,-0.451
80.684,-0.449
80.712,-0.4481
80.742,-0.4479
80.772,-0.4437
80.802,-0.4464
80.833,-0.4474
80.86,-0.4472
80.89,-0.446
80.92,-0.4436
80.949,-0.4427
80.98,-0.4434
81.009,-0.4393
81.038,-0.4364
81.068,-0.4398
81.098,-0.439
81.128,-0.4348
81.157,-0.4341
81.187,-0.4313
81.217,-0.4321
81.245,-0.4366
81.276,-0.4371
81.305,-0.444
81.335,-0.4486
81.364,-0.4559
81.396,-0.451
81.423,-0.4542
81.453,-0.4492
81.483,-0.446
81.513,-0.4452
81.542,-0.4414
81.571,-0.4402
81.601,-0.4428
81.63,-0.4399
81.66,-0.439
81.692,-0.4416
81.72,-0.4387
81.752,-0.4379
81.78,-0.436
81.808,-0.4394
81.838,-0.4346
81.869,-0.4341
81.898,-0.436
81.927,-0.4324
81.956,-0.4332
81.988,-0.4318
82.017,-0.4313
82.046,-0.4391
82.076,-0.4431
82.105,-0.4469
82.134,-0.4467
82.164,-0.4474
82.193,-0.4446
82.223,-0.4463
82.253,-0.4439
82.282,-0.4402
82.312,-0.4423
82.342,-0.4411
82.371,-0.4369
82.401,-0.4386
82.43,-0.4341
82.46,-0.4324
82.49,-0.4312
82.521,-0.4321
82.549,-0.4286
82.579,-0.4258
82.608,-0.4296
82.638,-0.4303
82.667,-0.43
82.697,-0.4319
82.727,-0.4285
82.756,-0.4283
82.786,-0.43
82.816,-0.43
82.845,-0.4302
82.875,-0.4369
82.904,-0.4418
82.934,-0.4446
82.964,-0.4414
82.993,-0.4413
83.023,-0.4407
83.053,-0.4416
83.082,-0.4355
83.112,-0.4357
83.141,-0.4334
83.171,-0.4368
83.201,-0.4348
83.231,-0.4366
83.26,-0.4323
83.29,-0.4313
83.32,-0.4337
83.349,-0.4344
83.379,-0.4319
83.407,-0.4308
83.437,-0.4308
83.469,-0.4278
83.497,-0.4266
83.526,-0.431
83.556,-0.4272
83.586,-0.4263
83.615,-0.4264
83.645,-0.4234
83.674,-0.4305
83.703,-0.4394
83.733,-0.4446
83.764,-0.4463
83.792,-0.4463
83.822,-0.4443
83.851,-0.4447
83.882,-0.4435
83.911,-0.4363
83.941,-0.44
83.97,-0.439
83.999,-0.4371
84.03,-0.4389
84.06,-0.4382
84.089,-0.437
84.119,-0.4345
84.148,-0.4327
84.177,-0.4326
84.208,-0.4346
84.236,-0.4322
84.267,-0.4371
84.296,-0.4308
84.325,-0.4323
84.356,-0.4329
84.386,-0.4331
84.415,-0.4354
84.449,-0.4324
84.475,-0.4377
84.504,-0.4471
84.534,-0.4531
84.562,-0.4517
84.592,-0.4481
84.622,-0.4466
84.651,-0.4466
84.682,-0.4449
84.712,-0.4412
84.74,-0.4431
84.775,-0.4409
84.8,-0.4432
84.83,-0.444
84.864,-0.4438
84.888,-0.4414
84.918,-0.4396
84.952,-0.4395
84.981,-0.4398
85.007,-0.4362
85.037,-0.4385
85.066,-0.4357
85.096,-0.4384
85.128,-0.4351
85.155,-0.4354
85.185,-0.4374
85.214,-0.441
85.245,-0.4461
85.275,-0.4515
85.304,-0.4571
85.333,-0.455
85.363,-0.4481
85.392,-0.4493
85.422,-0.4514
85.452,-0.4462
85.481,-0.4468
85.511,-0.4451
85.542,-0.4457
85.57,-0.4448
